shoulder,upper_arm,forearm,wrist_1,wrist_2,wrist_3,robotiq_gripper,g1,g2,g3,g4,g5,g6,g7,ins_x,ins_y,ins_z,ins_xr,ins_yr,ins_zr,rec_x,rec_y,rec_z,rec_xr,rec_yr,rec_zr
-0.577061653137207,-1.6141036748886108,1.9038684368133545,-1.094562292098999,-1.3219610452651978,0.17875652015209198,0.24277140200138092,0.2427779883146286,-0.00036320911021903157,-0.0004291809455025941,-0.2456996887922287,0.24666322767734528,-0.24495069682598114,-0.24600186944007874,0.35985732078552246,0.39819464087486267,0.016515709459781647,3.806342647294514e-06,-8.602830234849534e-07,-0.372943639755249,0.3076496124267578,0.29211997985839844,0.0021796543151140213,-6.400227903213818e-09,-7.42304280265671e-08,0.17201675474643707
-0.4233282804489136,-1.588018536567688,1.968450903892517,-1.18715500831604,-1.2590065002441406,0.17830225825309753,0.422513872385025,0.42251816391944885,-0.00028795949765481055,-0.00034994297311641276,-0.4245210886001587,0.42482632398605347,-0.42353078722953796,-0.42382481694221497,0.35985732078552246,0.39819464087486267,0.0165157001465559,3.583066927603795e-06,-1.3314979696588125e-06,-0.37294432520866394,0.3076496124267578,0.29211997985839844,0.0021796543151140213,-6.400227903213818e-09,-7.42304280265671e-08,0.17201675474643707
-0.2434997260570526,-1.5577417612075806,2.0008063316345215,-1.308856725692749,-1.1789981126785278,0.21483036875724792,0.5425446033477783,0.5425474643707275,-0.00020933365158271044,-0.0002568131603766233,-0.5443236827850342,0.5445002913475037,-0.5431393384933472,-0.5432578325271606,0.35985732078552246,0.39819464087486267,0.016515709459781647,3.8251973819569685e-06,-1.2545034451250103e-06,-0.3729442358016968,0.3076496124267578,0.29211997985839844,0.0021796543151140213,-6.400227903213818e-09,-7.42304280265671e-08,0.17201675474643707
-0.06316530704498291,-1.5207701921463013,1.9996974468231201,-1.4313374757766724,-1.1065775156021118,0.30502378940582275,0.6227140426635742,0.622715950012207,-0.00014553035725839436,-0.00017891437164507806,-0.6244223117828369,0.6245280504226685,-0.6231085658073425,-0.623124361038208,0.35985732078552246,0.39819464087486267,0.01651570573449135,4.290328433853574e-06,-1.0500644975763862e-06,-0.372944176197052,0.3076496124267578,0.29211997985839844,0.0021796543151140213,-6.400227903213818e-09,-7.42304280265671e-08,0.17201675474643707
0.09300348162651062,-1.4690643548965454,1.9751410484313965,-1.5633115768432617,-1.0758427381515503,0.4086417257785797,0.4359480142593384,0.4359508156776428,-0.0007015597657300532,-0.0008641437161713839,-0.44011029601097107,0.4403337836265564,-0.438891738653183,-0.43895310163497925,0.35985732078552246,0.39819467067718506,0.016515707597136497,4.289376647648169e-06,-1.1468135880932095e-06,-0.3729441165924072,0.3076496124267578,0.29211997985839844,0.0021796543151140213,-6.400227903213818e-09,-7.42304280265671e-08,0.17201675474643707
0.21789796650409698,-1.4036552906036377,1.919425368309021,-1.6568150520324707,-1.1039296388626099,0.43571317195892334,0.29995888471603394,0.2999631464481354,-0.0007232240168377757,-0.0008805535617284477,-0.3047419786453247,0.30496087670326233,-0.30378568172454834,-0.30389389395713806,0.35985735058784485,0.39819470047950745,0.016515681520104408,2.5370566163473995e-06,-1.6173257790796924e-06,-0.3729442059993744,0.3076496124267578,0.29211997985839844,0.0021796543151140213,-6.400227903213818e-09,-7.42304280265671e-08,0.17201675474643707
0.3064383566379547,-1.3389997482299805,1.856224775314331,-1.6901392936706543,-1.1594842672348022,0.4189262390136719,0.2085675746202469,0.20857279002666473,-0.0007223474094644189,-0.0008706143125891685,-0.21390128135681152,0.2142757922410965,-0.21306847035884857,-0.21341434121131897,0.35985735058784485,0.39819467067718506,0.016515685245394707,2.9542334232246503e-06,-1.809578407119261e-06,-0.3729442059993744,0.3076496124267578,0.29211997985839844,0.0021796543151140213,-6.400227903213818e-09,-7.42304280265671e-08,0.17201675474643707
0.36617645621299744,-1.2843859195709229,1.815433382987976,-1.7316267490386963,-1.2176004648208618,0.381661593914032,0.14766527712345123,0.14767123758792877,-0.000716598704457283,-0.000858073472045362,-0.15337584912776947,0.15382729470729828,-0.1526467204093933,-0.15305432677268982,0.35985732078552246,0.39819470047950745,0.016515685245394707,2.644787855388131e-06,-2.0297145510994596e-06,-0.3729444444179535,0.3076496124267578,0.29211997985839844,0.0021796543151140213,-6.400227903213818e-09,-7.42304280265671e-08,0.17201675474643707
0.4155992269515991,-1.2338402271270752,1.7970197200775146,-1.792981743812561,-1.2541247606277466,0.34260231256484985,0.10781046003103256,0.10781704634428024,-0.0007107822457328439,-0.0008474888745695353,-0.11375743895769119,0.11425288766622543,-0.11309888958930969,-0.11352404952049255,0.35985732078552246,0.39819470047950745,0.016515690833330154,2.2964420622884063e-06,-2.1902069420320913e-06,-0.3729439675807953,0.3076496124267578,0.29211997985839844,0.0021796543151140213,-6.400227903213818e-09,-7.42304280265671e-08,0.17201675474643707
0.45711439847946167,-1.1825313568115234,1.7946163415908813,-1.89791738986969,-1.279723048210144,0.3556411564350128,0.0803227499127388,0.08032942563295364,-0.0007063099765218794,-0.0008404705440625548,-0.08647289127111435,0.08697328716516495,-0.08586233109235764,-0.08625087141990662,0.35985732078552246,0.39819470047950745,0.016515681520104408,2.269415972477873e-06,-2.1577839106612373e-06,-0.3729439973831177,0.3076496124267578,0.29211997985839844,0.0021796543151140213,-6.400227903213818e-09,-7.42304280265671e-08,0.17201675474643707
